Complete Meal,Ingredients,Quantities
"Chicken Fried Rice with Chicken Curry, Ginger Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk,  Ginger,  Chillies","100, 150.0, 20, 20, 5, 10.0, 20.0, 3.0, 25.0, 10.0"
"Chicken Fried Rice with Devilled Fish, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili, Fish,  Potatoes,  Chillies","100, 50, 40.0, 20, 5, 5, 50.0, 5.0, 5.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Ala Badun","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Potato,  Oil","100, 50, 55.0, 20, 5, 10.0, 20.0, 0.5, 5.0, 40.0, 10.0"
"Chicken Fried Rice with Devilled Fish, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50, 40.0, 50.0, 5, 5, 50.0, 5.0, 5.0, 50.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Ala Badun","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili, Potato,  Oil","100, 100.0, 70.0, 20, 5, 10.0, 5.0, 10.0, 40.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause,  Potatoes,  Chillies","100, 50, 25.0, 50.0, 5, 5, 20.0, 0.5, 5.0, 40.0, 10.0"
"Chicken Fried Rice with Ala Badun, Ginger Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil,  Ginger,  Chillies","100, 100.0, 50.0, 20, 5, 10.0, 40.0, 10.0, 25.0, 10.0"
"Chicken Fried Rice with Green Pea Curry, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt","100, 50, 20, 20, 5, 5, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Devilled Fish, Green Pea Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili, Green pea,  Coconut milk","100, 50, 40.0, 20, 5, 5, 50.0, 15.0, 5.0, 50.0, 25.0"
"Chicken Fried Rice with Ala Badun, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil,  Potatoes,  Chillies","100, 50, 50.0, 50.0, 5, 10.0, 40.0, 10.0, 40.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili,  leeks,  Jackfruit,  Potatoes,  pepper","100, 100.0, 40.0, 50.0, 5, 5, 5.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Devilled Fish, Ala Badun","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili, Potato,  Oil","100, 50, 70.0, 20, 5, 10.0, 50.0, 5.0, 5.0, 40.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Ginger Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause,  Ginger,  Chillies","100, 100.0, 25.0, 20, 5, 5, 20.0, 0.5, 5.0, 25.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Fish,  Potatoes,  Chillies","100, 50, 25.0, 20, 5, 5, 20.0, 0.5, 5.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Fish Cutlets, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Potatoes,  Chillies","100, 50, 20, 50.0, 5, 5, 30.0, 90.0, 20.0"
"Chicken Fried Rice with Fish Cutlets, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Potatoes,  Chillies,  leeks,  Jackfruit,  pepper","100, 50, 20, 50.0, 5, 5, 30.0, 50.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Chicken Curry, Green Pea Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk, Green pea,  Chillies","100, 100.0, 20, 20, 5, 10.0, 45.0, 3.0, 50.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause, cheese,  Potatoes,  pepper","100, 50, 25.0, 20, 5, 5, 20.0, 0.5, 5.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Ala Badun, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, Fish,  Potatoes,  Chillies","100, 50, 50.0, 20, 5, 10.0, 40.0, 10.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Cashew Curry, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt","100, 50, 20, 20, 5, 5, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Devilled Fish, Cashew Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili, Cashew,  Coconut milk","100, 50, 40.0, 20, 5, 5, 50.0, 15.0, 5.0, 50.0, 25.0"
"Chicken Fried Rice with Devilled Fish, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili, Tapioca,  Oil,  Salt","100, 50, 40.0, 20, 5, 5, 50.0, 5.0, 5.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Chicken Curry, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk,  leeks,  Jackfruit,  Potatoes,  pepper","100, 100.0, 20, 50.0, 5, 10.0, 20.0, 3.0, 50.0, 10.0"
"Chicken Fried Rice with Ginger Chicken, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Ginger,  Chillies, cheese,  Potatoes,  pepper","100, 100.0, 20, 20, 5, 5, 25.0, 10.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Ala Badun, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50, 50.0, 50.0, 5, 10.0, 40.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Green Pea Curry, Ginger Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk,  Chillies,  Ginger","100, 100.0, 20, 20, 5, 5, 50.0, 25.0, 20.0, 25.0"
"Chicken Fried Rice with Green Pea Curry, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk,  Chillies,  Potatoes,  Chillies","100, 50, 20, 50.0, 5, 5, 50.0, 25.0, 10.0, 40.0, 10.0"
"Chicken Fried Rice with Chicken Curry, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk, Fish,  Potatoes,  Chillies","100, 100.0, 20, 20, 5, 10.0, 20.0, 3.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Chicken Curry, Cashew Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk, Cashew,  Chillies","100, 100.0, 20, 20, 5, 10.0, 45.0, 3.0, 50.0, 10.0"
"Chicken Fried Rice with Fish Cutlets, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Potatoes,  Chillies, cheese,  pepper","100, 50, 20, 20, 5, 5, 30.0, 110.0, 10.0, 30.0, 10.0"
"Chicken Fried Rice with Cashew Curry, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies","100, 50, 20, 20, 5, 5, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Green Pea Curry, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies","100, 50, 20, 20, 5, 5, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Ala Badun, Green Pea Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, Green pea,  Coconut milk,  Chillies","100, 50, 50.0, 20, 5, 10.0, 40.0, 10.0, 50.0, 25.0, 10.0"
"Chicken Fried Rice with Cashew Curry, Green Pea Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Green pea","100, 50, 20, 20, 5, 5, 50.0, 50.0, 20.0, 50.0"
"Chicken Fried Rice with Ginger Chicken, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Ginger,  Chillies,  leeks,  Jackfruit,  Potatoes,  pepper","100, 100.0, 20, 50.0, 5, 5, 25.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Chicken Curry, Devilled Fish","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk, Fish,  Chili","100, 100.0, 40.0, 20, 5, 10.0, 20.0, 8.0, 50.0, 5.0"
"Chicken Fried Rice with Devilled Fish, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili,  Potatoes,  Chillies","100, 50, 40.0, 50.0, 5, 5, 50.0, 5.0, 5.0, 40.0, 10.0"
"Chicken Fried Rice with Ala Badun, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, Tapioca,  Oil,  Salt","100, 50, 50.0, 20, 5, 10.0, 40.0, 10.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Ala Badun, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, cheese,  Potatoes,  pepper","100, 50, 50.0, 20, 5, 10.0, 40.0, 10.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Vegetable Cutlets, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Potatoes,  Chillies, Tapioca,  Oil","100, 50, 20, 50.0, 5, 5, 40.0, 20.0, 50.0, 20.0"
"Chicken Fried Rice with Chicken Curry, Devilled Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk,  Chili","100, 150.0, 40.0, 20, 5, 10.0, 20.0, 13.0, 5.0"
"Chicken Fried Rice with Wambatu Moju, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50, 25.0, 50.0, 5, 5, 20.0, 0.5, 5.0, 50.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili, Fish,  Potatoes,  Chillies","100, 100.0, 40.0, 20, 5, 5, 5.0, 10.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Cashew Curry, Ginger Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies,  Ginger","100, 100.0, 20, 20, 5, 5, 50.0, 25.0, 20.0, 25.0"
"Chicken Fried Rice with Green Pea Curry, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk,  Chillies,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50, 20, 50.0, 5, 5, 50.0, 25.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with potatoe cheese Balls, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, cheese,  Potatoes,  pepper,  leeks,  Jackfruit","100, 50, 20, 50.0, 5, 5, 30.0, 60.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Green Pea Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili, Green pea,  Coconut milk","100, 100.0, 40.0, 20, 5, 5, 15.0, 10.0, 50.0, 25.0"
"Chicken Fried Rice with Wambatu Moju, Devilled Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause,  Chili","100, 100.0, 45.0, 20, 5, 5, 20.0, 0.5, 5.0, 5.0, 10.0"
"Chicken Fried Rice with Vegetable Cutlets, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Potatoes,  Chillies,  leeks,  Jackfruit,  pepper","100, 50, 20, 80.0, 5, 5, 40.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Tapioca,  Oil,  Salt","100, 50, 25.0, 20, 5, 5, 20.0, 0.5, 5.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Chicken Curry, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk,  Potatoes,  Chillies","100, 100.0, 20, 50.0, 5, 10.0, 20.0, 3.0, 40.0, 10.0"
"Chicken Fried Rice with Cashew Curry, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50, 20, 50.0, 5, 5, 50.0, 25.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Chicken Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause,  Coconut milk","100, 100.0, 25.0, 20, 5, 10.0, 20.0, 0.5, 5.0, 20.0, 3.0"
"Chicken Fried Rice with Chicken Curry, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk, Tapioca,  Oil,  Salt","100, 100.0, 20, 20, 5, 10.0, 20.0, 3.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Ginger Chicken, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Ginger,  Chillies,  Potatoes,  Chillies","100, 100.0, 20, 50.0, 5, 5, 25.0, 10.0, 40.0, 10.0"
"Chicken Fried Rice with Green Pea Curry, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper","100, 50, 20, 20, 5, 5, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Devilled Fish","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Fish,  Chili","100, 50, 45.0, 20, 5, 5, 20.0, 0.5, 5.0, 50.0, 5.0, 5.0"
"Chicken Fried Rice with Ginger Chicken, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Ginger,  Chillies, Tapioca,  Oil,  Salt","100, 100.0, 20, 20, 5, 5, 25.0, 10.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili, Tapioca,  Oil,  Salt","100, 100.0, 40.0, 20, 5, 5, 5.0, 10.0, 50.0, 20.0, 10.0"
"Chicken Fried Rice with Ginger Chicken, Fish Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Ginger,  Chillies, Fish,  Potatoes,  Chillies","100, 100.0, 20, 20, 5, 5, 25.0, 10.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Cashew Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili, Cashew,  Coconut milk","100, 100.0, 40.0, 20, 5, 5, 15.0, 10.0, 50.0, 25.0"
"Chicken Fried Rice with Ala Badun, Cashew Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, Cashew,  Coconut milk,  Chillies","100, 50, 50.0, 20, 5, 10.0, 40.0, 10.0, 50.0, 25.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Cashew Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Cashew,  Coconut milk,  Chillies","100, 50, 25.0, 20, 5, 5, 20.0, 0.5, 5.0, 50.0, 25.0, 10.0"
"Chicken Fried Rice with Cashew Curry, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper","100, 50, 20, 20, 5, 5, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Devilled Fish, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili, cheese,  Potatoes,  pepper","100, 50, 40.0, 20, 5, 5, 50.0, 5.0, 5.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Cashew Curry, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies,  Potatoes,  Chillies","100, 50, 20, 50.0, 5, 5, 50.0, 25.0, 10.0, 40.0, 10.0"
"Chicken Fried Rice with Vegetable Cutlets, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Potatoes,  Chillies, cheese,  pepper","100, 50, 20, 50.0, 5, 5, 100.0, 10.0, 30.0, 10.0"
"Chicken Fried Rice with Tapioca Chips, Vegetable Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Tapioca,  Oil,  Salt,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50, 20, 50.0, 5, 5, 50.0, 20.0, 10.0, 50.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Ginger Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili,  Ginger","100, 150.0, 40.0, 20, 5, 5, 15.0, 10.0, 25.0"
"Chicken Fried Rice with Chicken Curry, Ala Badun","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk, Potato,  Oil","100, 100.0, 50.0, 20, 5, 15.0, 20.0, 3.0, 40.0, 10.0"
"Chicken Fried Rice with Fish Cutlets, Tapioca Chips","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Potatoes,  Chillies, Tapioca,  Oil","100, 50, 20, 20, 5, 5, 30.0, 50.0, 20.0, 50.0, 20.0"
"Chicken Fried Rice with Devilled Chicken, Vegetable Cutlets","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili,  Potatoes,  Chillies","100, 100.0, 40.0, 50.0, 5, 5, 5.0, 10.0, 40.0, 10.0"
"Chicken Fried Rice with Wambatu Moju, Green Pea Curry","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Green pea,  Coconut milk,  Chillies","100, 50, 25.0, 20, 5, 5, 20.0, 0.5, 5.0, 50.0, 25.0, 10.0"
"Chicken Fried Rice with Devilled Chicken, Devilled Fish","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili, Fish","100, 100.0, 60.0, 20, 5, 5, 10.0, 15.0, 50.0"
"Chicken Fried Rice with Devilled Chicken, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili, cheese,  Potatoes,  pepper","100, 100.0, 40.0, 20, 5, 5, 5.0, 10.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Chicken Curry, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk, cheese,  Potatoes,  pepper","100, 100.0, 20, 20, 5, 10.0, 20.0, 3.0, 30.0, 60.0, 10.0"
"Chicken Fried Rice with Devilled Fish, Ginger Chicken","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili,  Ginger","100, 100.0, 40.0, 20, 5, 5, 50.0, 15.0, 5.0, 25.0"
"Egg Fried Rice with Ginger Chicken, Vegetable Cutlets","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Ginger,  Chillies,  Potatoes,  Chillies","100, 30, 10, 5, 3, 32.5, 20, 50.0, 25.0, 10.0, 40.0, 10.0"
"Egg Fried Rice with Wambatu Moju, Fish Cutlets","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, tomato sause, Fish,  Potatoes,  Chillies","100, 30, 15.0, 5, 3, 2.5, 20, 20.0, 0.5, 5.0, 30.0, 50.0, 10.0"
"Egg Fried Rice with Devilled Chicken, Ginger Chicken","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Chili,  Ginger","100, 30, 30.0, 5, 13.0, 2.5, 20, 100.0, 15.0, 25.0"
"Egg Fried Rice with Tapioca Chips, Vegetable Balls","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Tapioca,  Oil,  Salt,  leeks,  Jackfruit,  Potatoes,  pepper","100, 30, 10, 5, 3, 32.5, 20, 50.0, 20.0, 10.0, 50.0, 10.0"
"Egg Fried Rice with Devilled Chicken, Tapioca Chips","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Chili, Tapioca,  Oil,  Salt","100, 30, 30.0, 5, 13.0, 2.5, 20, 50.0, 5.0, 50.0, 20.0, 10.0"
"Egg Fried Rice with Wambatu Moju, Ala Badun","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, tomato sause, Potato,  Oil","100, 30, 45.0, 10.0, 3, 2.5, 20, 20.0, 0.5, 5.0, 40.0, 10.0"
"Egg Fried Rice with Fish Cutlets, Vegetable Balls","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Potatoes,  Chillies,  leeks,  Jackfruit,  pepper","100, 30, 10, 5, 3, 32.5, 20, 30.0, 50.0, 10.0, 50.0, 10.0"
"Egg Fried Rice with Wambatu Moju, Devilled Fish","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, tomato sause, Fish,  Chili","100, 30, 35.0, 5, 8.0, 2.5, 20, 20.0, 0.5, 5.0, 50.0, 5.0"
"Egg Fried Rice with Chicken Curry, Cashew Curry","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk, Cashew,  Chillies","100, 30, 10, 10.0, 6.0, 2.5, 20, 50.0, 45.0, 50.0, 10.0"
"Egg Fried Rice with Fish Cutlets, potatoe cheese Balls","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Potatoes,  Chillies, cheese,  pepper","100, 30, 10, 5, 3, 2.5, 20, 30.0, 110.0, 10.0, 30.0, 10.0"
"Egg Fried Rice with Cashew Curry, Tapioca Chips","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Cashew,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt","100, 30, 10, 5, 3, 2.5, 20, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0"
"Egg Fried Rice with Chicken Curry, Ala Badun","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk, Potato,  Oil","100, 30, 40.0, 15.0, 6.0, 2.5, 20, 50.0, 20.0, 40.0, 10.0"
"Egg Fried Rice with Devilled Chicken, Devilled Fish","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Chili, Fish","100, 30, 50.0, 5, 18.0, 2.5, 20, 50.0, 10.0, 50.0"
"Egg Fried Rice with Devilled Fish, Tapioca Chips","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Chili, Tapioca,  Oil,  Salt","100, 30, 30.0, 5, 8.0, 2.5, 20, 50.0, 5.0, 50.0, 20.0, 10.0"
"Egg Fried Rice with Devilled Chicken, Vegetable Cutlets","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Chili,  Potatoes,  Chillies","100, 30, 30.0, 5, 13.0, 32.5, 20, 50.0, 5.0, 40.0, 10.0"
"Egg Fried Rice with Wambatu Moju, Vegetable Balls","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, tomato sause,  leeks,  Jackfruit,  Potatoes,  pepper","100, 30, 15.0, 5, 3, 32.5, 20, 20.0, 0.5, 5.0, 50.0, 10.0"
"Egg Fried Rice with potatoe cheese Balls, Vegetable Balls","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, cheese,  Potatoes,  pepper,  leeks,  Jackfruit","100, 30, 10, 5, 3, 32.5, 20, 30.0, 60.0, 10.0, 50.0, 10.0"
"Egg Fried Rice with Ala Badun, Vegetable Balls","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Potato,  Oil,  leeks,  Jackfruit,  Potatoes,  pepper","100, 30, 40.0, 10.0, 3, 32.5, 20, 40.0, 10.0, 50.0, 10.0"
"Egg Fried Rice with Wambatu Moju, potatoe cheese Balls","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, tomato sause, cheese,  Potatoes,  pepper","100, 30, 15.0, 5, 3, 2.5, 20, 20.0, 0.5, 5.0, 30.0, 60.0, 10.0"
"Egg Fried Rice with Cashew Curry, Ginger Chicken","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Cashew,  Coconut milk,  Chillies, Chicken,  Ginger","100, 30, 10, 5, 3, 2.5, 20, 50.0, 25.0, 20.0, 50.0, 25.0"
"Egg Fried Rice with Devilled Fish, Fish Cutlets","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Chili, Fish,  Potatoes,  Chillies","100, 30, 30.0, 5, 8.0, 2.5, 20, 50.0, 5.0, 30.0, 50.0, 10.0"
"Egg Fried Rice with Wambatu Moju, Ginger Chicken","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, tomato sause, Chicken,  Ginger,  Chillies","100, 30, 15.0, 5, 3, 2.5, 20, 20.0, 0.5, 5.0, 50.0, 25.0, 10.0"
"Egg Fried Rice with Chicken Curry, Fish Cutlets","Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk, Fish,  Potatoes,  Chillies","100, 30, 10, 10.0, 6.0, 2.5, 20, 50.0, 20.0, 30.0, 50.0, 10.0"
